iter	Passed	Remaining
0	5940	2370153
1	9394	1869524
2	11355	1502746
3	13202	1307092
4	15021	1186719
5	17274	1134388
6	19102	1072456
7	20962	1027152
8	22823	991575
9	24667	962015
10	26564	939433
11	28399	918257
12	30221	899661
13	31946	880800
14	33870	869336
15	35557	853375
16	37333	841096
17	39148	830820
18	40930	820757
19	42707	811433
20	44540	803842
21	46388	797040
22	48188	789866
23	49929	782227
24	51688	775326
25	53416	768380
26	55379	765054
27	57264	760796
28	59044	755368
29	60823	750152
30	62593	745059
31	64364	740189
32	66180	736010
33	67919	731136
34	69728	727165
35	71439	722337
36	73224	718392
37	75320	717524
38	77070	713398
39	78868	709815
40	80708	706690
41	82552	703665
42	84392	700651
43	86215	697563
44	88013	694330
45	89797	691053
46	91538	687513
47	93329	684419
48	95111	681310
49	96908	678359
50	98728	675611
51	100497	672563
52	102335	670005
53	104177	667508
54	105953	664616
55	107777	662061
56	109522	659056
57	111329	656457
58	113133	653875
59	114941	651336
60	116774	648959
61	118595	646538
62	120393	644011
63	122160	641341
64	123986	639009
65	125766	636457
66	127565	634018
67	129320	631389
68	131098	628895
69	132914	626595
70	134711	624225
71	136557	622095
72	138352	619742
73	140179	617549
74	141932	615040
75	143685	612551
76	145429	610046
77	147224	607772
78	149010	605474
79	150904	603619
80	152749	601567
81	154613	599597
82	156419	597409
83	158231	595253
84	160033	593065
85	161811	590799
86	163575	588496
87	165323	586148
88	167160	584123
89	168990	582078
90	170759	579832
91	172585	577787
92	174377	575634
93	176274	573829
94	178178	572047
95	179973	569914
96	181743	567713
97	183492	565457
98	185306	563406
99	187105	561316
100	188943	559347
101	190791	557410
102	192573	555285
103	194379	553234
104	196180	551174
105	198150	549586
106	199953	547534
107	201710	545365
108	203502	543294
109	205253	541123
110	207036	539041
111	208792	536894
112	210561	534788
113	212354	532748
114	214130	530672
115	215942	528687
116	217741	526673
117	219513	524600
118	221256	522462
119	223034	520412
120	224878	518521
121	226733	516655
122	228559	514722
123	230337	512687
124	232169	510772
125	233929	508703
126	235705	506673
127	237472	504629
128	239242	502594
129	241033	500608
130	242804	498582
131	244565	496542
132	246332	494516
133	248113	492524
134	249868	490483
135	251684	488564
136	253460	486570
137	255258	484622
138	257011	482589
139	258794	480618
140	260618	478724
141	262512	476958
142	264310	475019
143	266110	473085
144	267869	471080
145	269603	469036
146	271354	467025
147	273113	465030
148	274901	463088
149	276681	461135
150	278467	459194
151	280233	457223
152	282003	455260
153	283791	453328
154	285579	451399
155	287397	449519
156	289222	447650
157	291032	445758
158	292839	443864
159	294778	442167
160	296692	440431
161	298547	438606
162	300279	436602
163	302088	434712
164	303900	432828
165	305674	430890
166	307445	428950
167	309220	427018
168	311004	425100
169	312790	423187
170	314577	421276
171	316344	419340
172	318128	417428
173	319874	415469
174	321672	413579
175	323467	411686
176	325243	409770
177	327098	407953
178	328935	406115
179	330705	404195
180	332620	402452
181	334469	400628
182	336264	398740
183	338084	396881
184	339891	395008
185	341671	393106
186	343447	391199
187	345219	389290
188	346988	387378
189	348815	385532
190	350607	383649
191	352385	381750
192	354164	379854
193	355979	377998
194	357725	376070
195	359482	374155
196	361256	372259
197	363070	370405
198	364833	368499
199	366590	366590
200	368449	364782
201	370276	362943
202	372074	361076
203	373863	359202
204	375820	357487
205	377622	355625
206	379405	353745
207	381226	351901
208	383005	350019
209	384805	348157
210	386601	346292
211	388383	344415
212	390168	342541
213	391936	340654
214	393734	338794
215	395546	336946
216	397307	335056
217	399084	333181
218	400883	331323
219	402674	329460
220	404555	327671
221	406432	325878
222	408275	324057
223	410061	322191
224	411821	320305
225	413603	318438
226	415579	316719
227	417447	314916
228	419204	313030
229	421001	311174
230	422805	309325
231	424577	307452
232	426352	305582
233	428118	303707
234	429908	301850
235	431701	299995
236	433560	298186
237	435290	296290
238	437037	294406
239	438762	292508
240	440592	290681
241	442432	288861
242	444179	286980
243	445948	285114
244	447771	283284
245	449573	281440
246	451382	279601
247	453159	277743
248	454940	275887
249	456717	274030
250	458503	272179
251	460250	270306
252	462031	268453
253	463788	266587
254	465551	264725
255	467366	262893
256	469144	261041
257	470931	259194
258	472700	257338
259	474491	255495
260	476363	253695
261	478185	251868
262	479953	250013
263	481770	248184
264	483545	246334
265	485294	244471
266	487068	242622
267	488865	240784
268	490648	238940
269	492435	237098
270	494399	235341
271	496218	233514
272	498040	231689
273	499832	229850
274	501639	228017
275	503422	226175
276	505176	224320
277	506979	222487
278	508783	220655
279	510586	218822
280	512515	217043
281	514344	215222
282	516101	213370
283	517894	211534
284	519661	209688
285	521427	207841
286	523190	205994
287	524956	204149
288	526687	202291
289	528535	200478
290	530337	198648
291	532149	196822
292	533908	194976
293	535843	193195
294	537727	191394
295	539526	189563
296	541316	187729
297	543051	185876
298	544828	184039
299	546618	182206
300	548458	180390
301	550309	178577
302	552089	176741
303	553879	174909
304	555651	173071
305	557389	171224
306	559170	169390
307	560928	167550
308	562717	165719
309	564488	163883
310	566255	162047
311	568020	160210
312	569774	158371
313	571565	156543
314	573350	154713
315	575128	152882
316	576890	151046
317	578673	149217
318	580460	147389
319	582254	145563
320	584067	143742
321	585899	141925
322	587716	140105
323	589461	138268
324	591233	136438
325	592995	134606
326	594782	132780
327	596515	130942
328	598296	129115
329	600170	127308
330	601957	125483
331	603729	123655
332	605524	121832
333	607411	120027
334	609180	118199
335	610972	116375
336	612771	114553
337	614547	112727
338	616343	110905
339	618123	109080
340	620026	107277
341	621873	105463
342	623654	103639
343	625467	101820
344	627252	99996
345	629070	98178
346	630844	96353
347	632668	94536
348	634486	92718
349	636300	90900
350	638058	89073
351	639807	87246
352	641615	85427
353	643394	83604
354	645172	81782
355	646945	79959
356	648850	78152
357	650616	76329
358	652380	74505
359	654140	72682
360	656204	70891
361	658145	69087
362	659939	67266
363	661723	65445
364	663500	63623
365	665268	61800
366	667016	59976
367	668853	58161
368	670612	56338
369	672458	54523
370	674296	52707
371	676241	50899
372	678044	49080
373	679857	47262
374	681576	45438
375	683359	43618
376	685274	41807
377	687187	39995
378	689001	38176
379	690800	36357
380	692996	34558
381	694851	32741
382	696605	30919
383	698385	29099
384	700192	27280
385	701962	25459
386	703762	23640
387	706286	21843
388	708301	20029
389	710106	18207
390	711958	16387
391	713730	14565
392	715485	12744
393	717256	10922
394	719051	9101
395	720820	7281
396	722641	5460
397	724490	3640
398	726361	1820
399	728255	0
